# index, date, coordinate, B02, B03, B04, B05, B8A
266,2022-01-26,8.228478135459454-46.90379278772238,(200-200),(200-200),(200-200),(100-100),(100-100)
267,2022-01-26,8.261864796129828-46.87567425439434,(200-200),(200-200),(200-200),(100-100),(100-100)
268,2022-01-26,8.31824845019662-46.94268001087167,(200-200),(200-200),(200-200),(100-100),(100-100)
269,2022-01-01,9.54478833872227-47.347965992706236,(200-200),(200-200),(200-200),(100-100),(100-100)
270,2022-01-01,9.576699201943768-47.35896174520292,(200-200),(200-200),(200-200),(100-100),(100-100)
271,2022-01-01,9.593479914499085-47.37647566889015,(200-200),(200-200),(200-200),(100-100),(100-100)
272,2022-01-01,9.613011563540226-47.38951417479791,(200-200),(200-200),(200-200),(100-100),(100-100)
273,2022-01-01,9.603933452032152-47.293885770587934,(200-200),(200-200),(200-200),(100-100),(100-100)
274,2022-01-01,9.47684108896405-47.231158570495694,(200-200),(200-200),(200-200),(100-100),(100-100)
275,2022-01-01,9.47133921599439-47.21583874112079,(200-200),(200-200),(200-200),(100-100),(100-100)
276,2022-01-01,9.462811312892626-47.19771078777987,(200-200),(200-200),(200-200),(100-100),(100-100)
277,2022-01-01,9.324329057693234-47.110766877037065,(200-200),(200-200),(200-200),(100-100),(100-100)
278,2022-01-14,8.937792374104163-47.18948181786095,(200-200),(200-200),(200-200),(100-100),(100-100)
279,2022-01-14,8.893257162631642-47.184627765481196,(200-200),(200-200),(200-200),(100-100),(100-100)
280,2022-01-01,9.051245010195714-47.54779814417239,(200-200),(200-200),(200-200),(100-100),(100-100)
281,2022-01-01,9.163641888134407-47.52943149894301,(200-200),(200-200),(200-200),(100-100),(100-100)
282,2022-01-01,9.199366620120287-47.554475161369396,(200-200),(200-200),(200-200),(100-100),(100-100)
283,2022-01-01,9.249656665751502-47.555217018295195,(200-200),(200-200),(200-200),(100-100),(100-100)
284,2022-01-01,9.314511587984441-47.56374761807035,(200-200),(200-200),(200-200),(100-100),(100-100)
285,2022-01-01,9.231519259447055-47.52720464107324,(200-200),(200-200),(200-200),(100-100),(100-100)
286,2022-01-01,9.385687095662888-47.5299880052068,(200-200),(200-200),(200-200),(100-100),(100-100)
